case_id,source_record_id,case_name,case_number_or_citation,court_name,court_level,decision_date,decision_year,case_subtype,raw_length_chars,collection_status,exclusion_reason,include_signals,exclude_signals,quality_flags,related_case_group_id
KR_9c7b493795b91260,243,,,unknown,unknown,2021-09-04,2021,traffic_accident,1166,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_440fb10ea2449e30,244,,2007다8914,unknown,supreme,2018-05-01,2018,facility_product_safety,4220,fail,supreme_court_excluded;criminal_case;warning_unknown_court_name,손해배상;불법행위,supreme_court_excluded;criminal_case,warning_unknown_court_name,
KR_92bcb40c86c63699,252,,2006고합168,unknown,unknown,2002-10-12,2002,medical_professional,35366,fail,criminal_case;family_only;warning_unknown_court_level;warning_unknown_court_name,손해배상;불법행위;위자료,criminal_case;family_only,warning_unknown_court_level;warning_unknown_court_name,
KR_412609ca895dedde,259,,,서울고등법원,appellate,1963-03-04,1963,unclear,1729,fail,too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_case_number,손해배상;불법행위,too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_case_number,
KR_ac8c452e07feaa2f,261,,,춘천지방법원 속초지원,trial,2009-11-19,2009,traffic_accident,1738,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_case_number,주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_case_number,
KR_ed672a0e1042f343,262,,2019고단8249,unknown,unknown,2021-07-22,2021,medical_professional,7641,fail,criminal_case;warning_unknown_court_level;warning_unknown_court_name,손해배상;불법행위,criminal_case,warning_unknown_court_level;warning_unknown_court_name,
KR_24c2bf94f1b4067e,268,,,unknown,unknown,2020-06-01,2020,traffic_accident,6045,fail,criminal_case;procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,불법행위,criminal_case;procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_c25c174876ef1278,269,,,unknown,unknown,2020-06-15,2020,traffic_accident,1711,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상;주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_55e52aafba2303eb,281,,2018다248909,unknown,supreme,2019-09-22,2019,traffic_accident,3399,fail,supreme_court_excluded;criminal_case;warning_unknown_court_name,손해배상;위자료;일실수입,supreme_court_excluded;criminal_case,warning_unknown_court_name,
KR_d46e74ab0a612a7b,282,,2006다78336,unknown,supreme,2011-09-28,2011,property_economic_harm,3135,fail,supreme_court_excluded;warning_unknown_court_name,손해배상;불법행위;주의의무,supreme_court_excluded,warning_unknown_court_name,
KR_d03430281d2852a6,286,,,unknown,unknown,2019-07-20,2019,medical_professional,3136,fail,criminal_case;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_88ca9f7498975c39,306,,2005도5338,인천지방법원 부천지원,trial,2018-01-06,2018,medical_professional,4081,pass,,주의의무,,,
KR_d6f976fa57b9b046,318,,2011다107399,unknown,supreme,2019-04-23,2019,property_economic_harm,3515,fail,supreme_court_excluded;criminal_case;warning_unknown_court_name,손해배상;불법행위,supreme_court_excluded;criminal_case,warning_unknown_court_name,
KR_55da6656ff3cb634,322,,,unknown,unknown,2021-04-28,2021,traffic_accident,1685,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_eeaf73c4673c33c2,323,,,대법원,supreme,1992-03-10,1992,traffic_accident,3190,fail,supreme_court_excluded;warning_unknown_case_number,사용자책임,supreme_court_excluded,warning_unknown_case_number,
KR_d733e397d97edc44,329,,2012다4985,unknown,supreme,2013-01-01,2013,traffic_accident,7735,fail,supreme_court_excluded;warning_unknown_court_name,손해배상;불법행위,supreme_court_excluded,warning_unknown_court_name,
KR_7672c1b0b24023ab,344,,,unknown,unknown,2019-03-14,2019,traffic_accident,4983,warning,,손해배상;위자료;치료비;일실수입,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_3e533319ac1a0d91,351,,,unknown,unknown,2011-12-01,2011,property_economic_harm,3943,warning,,손해배상;불법행위;주의의무,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_1655c8c05a8688f1,353,,2008다61615,unknown,supreme,2010-02-11,2010,facility_product_safety,2872,fail,supreme_court_excluded;procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_name,손해배상;불법행위;주의의무;공작물책임,supreme_court_excluded;procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_name,grp_5fcac8eeb1a0
KR_86fbc056abc23bef,362,,,서울고등법원,appellate,,,facility_product_safety,2389,warning,,손해배상,,warning_weak_fact_background_signal;warning_unknown_case_number,
KR_343faeaf0db7de2f,370,,,unknown,unknown,1965-06-22,1965,unclear,545,fail,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_3c4b7ae046eb6e32,404,,,unknown,unknown,2019-03-18,2019,traffic_accident,3647,warning,,손해배상;위자료;치료비;일실수입;주의의무,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_6d68ed3447faff15,408,,,unknown,unknown,2020-10-07,2020,facility_product_safety,2201,warning,,손해배상;불법행위;사용자책임,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_066f1b9779efde82,413,,,unknown,unknown,2018-09-11,2018,traffic_accident,5825,fail,criminal_case;procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,criminal_case;procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_78084c03c9b30dbc,414,,2019가단206739,unknown,trial,2019-07-07,2019,property_economic_harm,2592,fail,criminal_case;warning_unknown_court_name,불법행위,criminal_case,warning_unknown_court_name,
KR_a3cf8d0a7afd3407,422,,2011헌가19,서울북부지방법원,trial,2007-10-17,2007,medical_professional,17475,fail,criminal_case;administrative_only,주의의무,criminal_case;administrative_only,,
KR_b9bacca7f2152bcf,427,,,unknown,unknown,2017-07-29,2017,medical_professional,5138,warning,,손해배상,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_546c7999a6e1c727,436,,,unknown,unknown,2021-05-15,2021,traffic_accident,1989,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_3bba03d7ba317778,437,,2018다240424,unknown,supreme,2020-09-06,2020,medical_professional,6988,fail,supreme_court_excluded;warning_unknown_court_name,손해배상,supreme_court_excluded,warning_unknown_court_name,
KR_678690d0031f42c4,449,,,unknown,unknown,2011-01-26,2011,facility_product_safety,3685,warning,,손해배상,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_d69a4f8937d651c3,457,,2003다64688,서울중앙지방법원,supreme,2008-11-01,2008,medical_professional,5360,fail,supreme_court_excluded,주의의무,supreme_court_excluded,,
KR_dc3cf2661c0b7873,458,,2007다90982,unknown,supreme,2018-12-11,2018,traffic_accident,8596,fail,supreme_court_excluded;warning_unknown_court_name,손해배상;불법행위,supreme_court_excluded,warning_unknown_court_name,
KR_1dfcb9662631b3ea,460,,,unknown,unknown,2008-12-08,2008,personal_injury,4387,fail,administrative_only;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상;불법행위;위자료;일실수입,administrative_only,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_90b28384bb56bd43,462,,,unknown,unknown,2018-07-16,2018,contract_only,4351,fail,contract_only;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,contract_only,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_de7d9198c229df36,469,,,unknown,unknown,1998-07-10,1998,traffic_accident,3325,warning,,손해배상;불법행위;치료비;주의의무,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_dcd096fc5931fff5,479,,,unknown,unknown,2017-07-11,2017,unclear,2659,warning,,손해배상;불법행위;위자료,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_76f18a439c32c9c3,503,,,광주지방법원,trial,1983-02-09,1983,medical_professional,7451,warning,,손해배상;불법행위,,warning_unknown_case_number,
KR_58292ac5d5f449e5,511,,,unknown,unknown,1992-11-27,1992,traffic_accident,1728,fail,too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상;불법행위;치료비;일실수입;과실상계,too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_1a3b9e20b401038b,515,,,unknown,unknown,1995-03-01,1995,traffic_accident,1200,fail,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_c4a3684f020125ee,522,,2015도3260,unknown,unknown,2018-09-04,2018,contract_only,5686,fail,criminal_case;procedural_only_or_no_factual_background;contract_only;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name,위자료,criminal_case;procedural_only_or_no_factual_background;contract_only,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name,grp_466d9a1098af
KR_b96d83981e8f8d57,524,,,unknown,unknown,1983-05-08,1983,traffic_accident,4735,warning,,손해배상;불법행위;위자료;과실상계,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_2fb92a963ae14368,537,,2014고합236,unknown,unknown,2011-09-29,2011,traffic_accident,11205,fail,criminal_case;warning_unknown_court_level;warning_unknown_court_name,손해배상;불법행위,criminal_case,warning_unknown_court_level;warning_unknown_court_name,
KR_d5d0a2ada4af59cf,540,,,unknown,unknown,2020-08-23,2020,traffic_accident,1651,fail,criminal_case;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,주의의무,criminal_case;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_311f448e86db348c,550,,2008다85598,unknown,supreme,2018-07-25,2018,medical_professional,17041,fail,supreme_court_excluded;warning_unknown_court_name,손해배상,supreme_court_excluded,warning_unknown_court_name,
KR_f5fc48fbfb39bdad,552,,2003다49252,unknown,supreme,2014-03-26,2014,traffic_accident,6694,fail,supreme_court_excluded;warning_unknown_court_name,손해배상;불법행위;위자료;치료비;일실수입,supreme_court_excluded,warning_unknown_court_name,grp_bc1b707257f6
KR_4d8e430eafe83ff1,555,,,서울지방법원,trial,1996-04-13,1996,facility_product_safety,2988,fail,procedural_only_or_no_factual_background;warning_weak_fact_background_signal;warning_unknown_case_number,손해배상,procedural_only_or_no_factual_background,warning_weak_fact_background_signal;warning_unknown_case_number,
KR_a17e105d900dfd44,567,,2007다85157,서울북부지방법원,supreme,2006-12-29,2006,contract_only,7346,fail,supreme_court_excluded;criminal_case;contract_only,손해배상,supreme_court_excluded;criminal_case;contract_only,,
KR_b7ced57cfe9147eb,571,,,unknown,unknown,2015-06-09,2015,medical_professional,4961,warning,,손해배상;위자료;치료비;일실수입,,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_793d68b26f39f395,572,,,대구고등법원,appellate,1989-12-21,1989,traffic_accident,3494,warning,,손해배상,,warning_unknown_case_number,
KR_759eda7c4b8d46e7,573,,,unknown,unknown,1963-04-22,1963,contract_only,2829,fail,procedural_only_or_no_factual_background;contract_only;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,procedural_only_or_no_factual_background;contract_only,warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_76622ccdb049afb1,579,,,unknown,unknown,2020-05-13,2020,traffic_accident,1789,fail,too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_fd6bb2948a46aa99,580,,,unknown,unknown,1984-10-08,1984,property_economic_harm,3398,fail,administrative_only;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상,administrative_only,warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_e9e46116eee67aba,593,,,unknown,unknown,,,unclear,815,fail,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,손해배상;위자료,procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal;warning_unknown_court_level;warning_unknown_court_name;warning_unknown_case_number,
KR_ed01aaebab93db88,600,,2001드단246,대전지방법원,trial,,,unclear,623,fail,family_only;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text;too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,위자료,family_only;procedural_only_or_no_factual_background;too_short_or_no_full_opinion_text,too_short_or_no_full_opinion_text;warning_weak_fact_background_signal,
KR_a365c89fe7f8b9b4,607,,2001다70368,unknown,supreme,2020-04-02,2020,medical_professional,5837,fail,supreme_court_excluded;warning_unknown_court_name,위자료;치료비;일실수입,supreme_court_excluded,warning_unknown_court_name,grp_63babc09f4f9
