authoritative_issue_row,severity,layer,case_id,issue_code,issue,evidence,recommended_action,v4_resolution_status,v4_resolution_evidence
11,HARD,source_case,US_9b0dcb923fdb190dd3,DENIAL_ORDER_CONCURRENCE_SOURCE,Ronnie Dancer v. Clark Construction Company Inc fails a hard source-eligibility rule.,Michigan Supreme Court denied leave to appeal; the substantive text is a concurrence offering guidance.,Replace; no controlling merits opinion was issued.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_6fc55880fb74718547"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""0c3cfad20df320aa22dcd56963e3df2e06218dda44c1087672b1575060695d81"", ""reason"": ""leave-denial order; substance appeared only in concurrence""}"
12,HARD,source_case,US_8026310f8d6a3819bd,WRONG_CONTROLLING_DATE_OUT_OF_WINDOW,"Poling v. Belington Bank, Inc. fails a hard source-eligibility rule.","Record metadata uses 2000-03-01, but the opinion states 'Decided July 13, 1999' and 'Dissenting Opinion ... March 1, 2000'.",Replace or exclude. The controlling decision is outside the 2000-2025 window; the stored date appears to come from the dissent.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_f57bc43fc6478fd8b2"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""5d2a0f28a4fa97a8c42d18c0b8cbab2f447b35fdeec7d552192ee146ecad905d"", ""reason"": ""controlling decision was issued in 1999""}"
13,HARD,source_case,US_5905b849c15a6fb3d6,DUPLICATE_CASE_FAMILY,"Grove, J., Aplt. v. Port Authority is not an independent case family.","Grove v. Port Authority: same case title, same 2019-10-31 decision, same J-19A/J-19B matter; one record contains a separate opinion rather than an independent case.",Deduplicate; keep/review US_369a2f88efd4f55df4 as the canonical record and replace US_5905b849c15a6fb3d6 to maintain US n=100.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_384364b54638f78623"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""ddb72973be4b02005434492531f16004907dc03502ffc71045ea841c8f43822a"", ""reason"": ""duplicate Grove litigation/case family""}"
14,HARD,source_case,US_9cac14d9a55b155cd4,DUPLICATE_CASE_FAMILY,Craig v. Oakwood Hospital is not an independent case family.,"Craig v. Oakwood Hospital: same 2004-07-23 Michigan Supreme Court matter and same docket set, duplicated through different source records.",Deduplicate; keep/review US_7cae584411e6f22f4b as the canonical record and replace US_9cac14d9a55b155cd4 to maintain US n=100.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_b675276d7ca44f64e2"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""77cdca4fc31e3b4ea2658e2cac0afe81918a5a40cbb8b9d5145d14deb62fe964"", ""reason"": ""duplicate Craig litigation/case family""}"
15,HIGH,metadata,US_45c1de8fa5ac8eefab,DECISION_DATE_SEMANTICS,Stored decision date reflects a concurrence/amendment date rather than the original majority decision date.,"Stored decision_date=2003-07-07; opinion says Decided July 3, 2003 and Concurring Opinion July 7, 2003.",Store both decision_date and amended/secondary-opinion date explicitly; use the controlling decision date for matching.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_45c1de8fa5ac8eefab"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""f2223c20562bbe4cd5cd09f27cad4c99e8c9a6763adf7f2373a5ba64db9717dd"", ""source_opinion_sha256"": ""9f02a05a7af56fa0c58e456c532c1a17dd0c60b1534766a333101a18f29efc33""}"
16,HIGH,metadata,US_9c0d0f392a9c3505c1,DECISION_DATE_SEMANTICS,Stored decision date reflects a concurrence/amendment date rather than the original majority decision date.,"Stored decision_date=2000-09-19; opinion says Decided July 18, 2000 and Opinion Amended September 19, 2000.",Store both decision_date and amended/secondary-opinion date explicitly; use the controlling decision date for matching.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_9c0d0f392a9c3505c1"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""9deb73a8cb21ad3c33e87ea74ed24e11cf9e9cf3eba1bc1db562e96b6b7fe31e"", ""source_opinion_sha256"": ""f0c31421be6dcd3881c53fb1ed02ed872318be66ced72aadfe5d86daac016c8f""}"
17,HARD,neutral_fact,KR_4a417b3e4eb96c19c1,JUDICIAL_EVALUATION_LEAKAGE,손해배상(기) has a high-confidence neutral-fact defect.,"Neutral text repeats court evaluative statements such as asbestos exposure being 'not serious' and disease probability being low, plus 'fact-finding was wrong' / lack of proof wording.","Re-extract from raw factual allegations/evidence. Remove the court's risk assessment, evidentiary evaluation, and appeal framing.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_c0c025922aca493f10"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""f9f303ba355886ad32ef9a759f85c1d6007fe5667a54b5ac9f4e7254bb662adc"", ""reason"": ""HARD judicial-evaluation leakage; minimum product-to-general domain swap""}"
18,HARD,neutral_fact,KR_5beca7bd705b05bb94,FACT_INSUFFICIENT,손해배상(의) has a high-confidence neutral-fact defect.,"Final Korean master is one sentence: steroid was administered and could cause osteonecrosis. It omits the outcome, disclosure facts, and surrounding sequence needed to independently analyze the claim.",Re-extract a minimally sufficient fact pattern from the opinion; the current text does not satisfy the intended mandatory-four factual dimensions.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_25ab15d21ac1967afd"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""30f6be6c03e33b18f4955356e7e49828c02a2edc44f1ba640bded60292ee7970"", ""reason"": ""HARD fact insufficiency: controlling source omitted the patient outcome and surrounding treatment sequence""}"
19,HARD,neutral_fact,KR_f3fe352a4c02d16f80,FACT_INSUFFICIENT_AND_PROCEDURAL,손해배상(자) has a high-confidence neutral-fact defect.,Final master only says post-accident disability/loss-of-earning-capacity duration was reviewed and treatment-cost items were considered; it omits the accident conduct/causal sequence.,Re-extract the underlying event facts or replace if the Supreme Court opinion lacks them.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_d47698374deaa59285"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""1a2423fbc60fe02dfe1b1b32b4b23dfc4ac54e66e9476ab07572717a8820dd77"", ""reason"": ""HARD fact insufficiency: controlling source omitted the accident conduct and causal sequence""}"
20,HARD,neutral_fact,KR_882ce243b36c889fda,CAUSATION_ADJUDICATION_LEAKAGE,손해배상등[고용계약 체결의 청약에 대해 승낙의 의사표시를 구하는 사건] has a high-confidence neutral-fact defect.,Neutral text states that a committee determined the causal relationship between benzene and the disease was clear.,"Preserve exposure, diagnosis, death, and party allegations, but remove the authoritative causation determination from the experimental input.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_1346b7ea49f678b93c"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""0e202c2d265e80d7ce1bd3251ad26d8531cbf340fd47306d9a834680fcb81671"", ""reason"": ""source-scope recheck: controlling opinion centered on a special-hiring clause rather than the civil-liability merits""}"
21,HARD,neutral_fact,KR_cda2f7ae1f9162201f,COURT_CAUSAL_FINDING_LEAKAGE,손해배상 has a high-confidence neutral-fact defect.,Neutral text says the vehicle suddenly moved because PERSON_A abnormally pressed the accelerator 'as determined'.,"Remove the court's causal resolution; preserve observable evidence, absence of detected defects, and competing factual allegations separately.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_cda2f7ae1f9162201f"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""513b689e28ae008cc8c9e21b5322775546c81652f71b4f7c5e175b7b1915aff8"", ""source_opinion_sha256"": ""76d9c79c2d5ca81fd8c11e12a9c75c0a5675cf617a517dda69b74ebc35156283""}"
22,HARD,neutral_fact,KR_adf561060b125d6b87,LEGAL_RULE_IN_NEUTRAL_FACT,손해배상(자) has a high-confidence neutral-fact defect.,Neutral text begins by defining uninsured-motorist coverage and how benefits are limited under policy terms.,"Remove legal/policy-rule exposition; keep only accident, injury, insurance relationship, and payment-relevant facts needed for the case.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_e61f8571b55fd48e4c"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""dfb15f7a7d50c08b1a8556b7ea8c1bc2d5bab9500a3da5d4d0739da0c4b1167f"", ""reason"": ""HARD legal-rule leakage and controlling source omitted the accident conduct needed for a sufficient neutral fact""}"
23,HARD,neutral_fact,US_ca3855b0593ebfc33e,US_DOCTRINE_MARKER_LEAKAGE,"M.M., a Minor, By and Through Her Mother, etc. v. Pfizer, Inc. has a high-confidence neutral-fact defect.",Neutral text explicitly includes 'strict liability theory' and an alleged warning obligation.,"Rewrite at factual level: what warnings were/weren't on the label, what was known, exposure, and injury. Do not expose a measured U.S.-law marker in the input.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_ca3855b0593ebfc33e"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""d0f0114a73665362c505f9df88783da99608727256354cdb12cc43a398f1acea"", ""source_opinion_sha256"": ""a716317b0e3c83d819e7ecbf333262ff93e87efb35de4cba833428a70c4a2b50""}"
24,HARD,neutral_fact,US_512d2cb96959fe1764,US_DOCTRINE_MARKER_LEAKAGE,Cromer v. Wilson has a high-confidence neutral-fact defect.,Neutral text says PERSON_B asserted that PERSON_A was 'comparatively negligent'.,Replace the doctrine label with the concrete conduct alleged to support comparative fault.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_512d2cb96959fe1764"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""8292034317c272e3246870ac7e94fff88d2b74af44d98f749c0eab637e5682e0"", ""source_opinion_sha256"": ""243b35f7144ad2ad95c2c546dd5b6a1973b481baaec26c2fb0c5f4eb8c482c6d""}"
25,HARD,neutral_fact,US_0ed0e9c92a0a12ceca,PROCEDURAL_LEGAL_LABEL_LEAKAGE,MacE v. Ford Motor Company has a high-confidence neutral-fact defect.,Neutral text explicitly refers to a 'product-liability lawsuit' and a contemplated 'civil action'.,Describe evidence preservation/destruction and knowledge facts without naming the legal claim or litigation posture.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_0ed0e9c92a0a12ceca"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""c37ac2e81c9b2b5c9523abb50aac6c8c87a2ed07d06eeb01585e18a02f63dfdb"", ""source_opinion_sha256"": ""18cc7e258643286dab0dcb4403c3540e4081094a75ed1df61cb42d7537458078""}"
26,HARD,neutral_fact,US_193fdb5b19590cbcab,ENTITY_NEUTRALIZATION_FAILURE,Arbogast v. Mid-Ohio Valley Medical Corp. has a high-confidence neutral-fact defect.,Neutral text retains 'Mid-[LOCATION_JURISDICTION] Valley Medical Corp./Urgent Care' and the surname 'Arbogasts'.,Replace surviving entity names with stable generic placeholders in both languages.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_193fdb5b19590cbcab"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""f6b4b5b1510d431ae1371abcff65b11845ab86c33fc242ad4c31e640d62be864"", ""source_opinion_sha256"": ""24539cb0c30053597b29bd00cd911e24d3c3f20d16ca6b76a8f816ba46355607""}"
27,HIGH,neutral_fact,KR_5ebeddec620aad3412,SEMANTIC_REDUNDANCY,The final bilingual neutral fact substantially repeats the same injury/loss event; the second statement mainly adds causal wording/context.,"[""Substantive factual content is duplicated in both final-language versions: the fall and ulna-fracture injury are reported once as an event and again in the causal explanation.""]",Consolidate into one grounded factual sentence to reduce repeated weighting of the same fact.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_5ebeddec620aad3412"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""acca39fe4150a9a311860d712568b838d2f89aeef1523f0fb5aef4b869a46a30"", ""source_opinion_sha256"": ""7e75408a73ce4ca0408e9a558bd3a85031b13fb02c6fb5ce482d6118228bc34f""}"
28,HIGH,neutral_fact,KR_c9b0b61cc030200a6a,SEMANTIC_REDUNDANCY,The final bilingual neutral fact substantially repeats the same injury/loss event; the second statement mainly adds causal wording/context.,"[""The final factual content is duplicated: the failure to recover [CURRENCY_AMOUNT_B] is stated twice in both languages. The second statement adds the pre-supply and lack-of-notification context but repeats the same recovery failure and amount.""]",Consolidate into one grounded factual sentence to reduce repeated weighting of the same fact.,RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_a1301398c0525889ea"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""133c6716857781d6c5c6f6e74af905d6ef8731e230f96e4acf770539ea16fc59"", ""reason"": ""semantic redundancy; minimum additional other-to-general swap after rejecting a fee-only U.S. candidate""}"
29,HIGH,neutral_fact,US_3f0101285fcc76e2b1,SEMANTIC_REDUNDANCY,The final bilingual neutral fact substantially repeats the same injury/loss event; the second statement mainly adds causal wording/context.,"[""The final bilingual text contains redundant duplication of the same alleged injuries; the second sentence adds causation but substantially repeats the preceding factual statement.""]",Consolidate into one grounded factual sentence to reduce repeated weighting of the same fact.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_3f0101285fcc76e2b1"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""93be17daeae3078ff6038e596848451d7d3f5467357f1dc248dbdd421d189e48"", ""source_opinion_sha256"": ""30871bbab63af580ea369af9aa4d1f9db1b205007d583a5ab8d10fff60d15b4e""}"
30,HIGH,neutral_fact,US_78f2e4c0127c877a51,SEMANTIC_REDUNDANCY,The final bilingual neutral fact substantially repeats the same injury/loss event; the second statement mainly adds causal wording/context.,"[""The injury fact is substantively duplicated in both language versions. The second sentence adds causal wording but repeats the already stated broken-leg event, reducing neutral-fact concision and introducing redundant factual content.""]",Consolidate into one grounded factual sentence to reduce repeated weighting of the same fact.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_78f2e4c0127c877a51"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""ad902bacafcb97174dd50f99835222048d83feaac212927083a9a0c26731befb"", ""source_opinion_sha256"": ""5260f49459ddc905afc1219d3fb4f13896eb441417117c29716f8229b71eb521""}"
31,HIGH,qc_artifact,KR_d9b3ee3b261df8b463,STALE_QC_RESULT,The QC CSV flags litigation posture that is no longer present in the uploaded final neutral fact.,"[""The final text retains litigation posture by stating that [COMPANY_A] and [ORGANIZATION_A] are parties to the case; this is a procedural statement rather than a neutral real-world fact."",""The remaining factual content is supported by the source and is materially equivalent across Korean and English, with no identified entity, number, negation, temporal-order, or duplication defect.""]",Regenerate final QC from the actual final fact file; do not carry forward stale semantic results.,RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_d9b3ee3b261df8b463"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""5f1a86696a8a6f7dd4cd272fc3bb011c36d6d224e0181b6a4db3a8cd48a4d02b"", ""source_opinion_sha256"": ""9c27c76082d7e4df39c2bdeb0512e8b73c41800d7b7c0b055300248d16865f66""}"
32,HIGH,neutral_fact,KR_872d527b52dfbd5927,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","원고는 [PERSON_A] 외 3인이며, 피고는 [ORGANIZATION_A]이다. [PERSON_B]은 2015. 12. 28. 오른손으로 바닥을 짚으며 넘어진 후 팔을 올릴 수 없어 2015. 12. 29. [INSTITUTION_A]에 입원하였다. [INSTITUTION_A] 의료진은 MRI 검사 등을 거쳐 [PERSON_B]에게 오른쪽 어깨 전층 회전근개파열과 어깨충돌 증후군 소견이 있다고 진단하고, 전신마취 및 국소마취 아래 관절경을 이용한 수술을 계획하였다. 2015. 12. 30. 10:15경 [PERSON_C]은 수술실에서 [PERSON_B]에게 정맥 주사로 전신마취를 유도하고, 세보레와 아산화질소로 전신마취를 유지하였다. [PERSON_C]은 상완신경총 차단술을 위하여 [PERSON_B]의 목 부위에 리도카인과 로피바카인을 혼합 투여하여 국소마취를 하였고, 10:42경 [PERSON_D]에게 [PERSON_B]의 상태를 지켜보도록 지시한 후 수술실에서 나왔다. 수술은","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_872d527b52dfbd5927"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""53d3e4de0db9ea265b46f3480129a30295f5fc2bee5b87b4f863e0cd2a7dce00"", ""source_opinion_sha256"": ""7908bbbb9d38dff7c4e89b23f2fc40cecbccaa9d2c70764c4da58c9c2d2cf5c9""}"
33,HIGH,neutral_fact,KR_9dad33b6d6293b40f2,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","사건 당사자는 [PERSON_A]와 [PERSON_B]로 표시되어 있다. [PERSON_A]는 1993. 10. 7.경 [PERSON_B]가 운영하는 [INSTITUTION_A]에 찾아가 이마와 턱을 높이고 눈 쌍꺼풀 수술을 받고 싶다며 성형수술에 관하여 상담했다. 1993. 11. 17. [PERSON_A]는 [PERSON_B]에게 [CURRENCY_AMOUNT_A]를 지급하고 턱과 이마 부위에 실리콘 보형물을 삽입하는 수술과 눈 쌍꺼풀 수술을 받았다. [PERSON_A]는 이후 [PERSON_B]에게 재수술을 요구했고, 1994. 12. 13.경 쌍꺼풀의 크기를 약간 줄이고 이마와 턱에 넣었던 보형물의 크기를 보다 얇은 것으로 교체하는 추가교정수술을 받았다. 턱과 이마 부위에 실리콘 보형물을 삽입하는 수술과 눈 쌍꺼풀 수술 및 그 후의 추가교정수술이 있은 뒤, 1997. 12.경부터 [PERSON_A]의 턱 부위에 삽입된 실리콘이 대각선으로 이동하기 시작했다. 1998. 10.경","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_9dad33b6d6293b40f2"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""55eeedc70d8b38876505b798432fc9c6040b8eb9477abbd252700b9ef36ff30c"", ""source_opinion_sha256"": ""4340396833e7f06b902c8c9189ba1859e8cae584835da044dd54674606c79f24""}"
34,HIGH,neutral_fact,KR_ab2b68c40724d0aa92,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","원고 1 외 2인은 [PERSON_A]의 가족이었고, [ORGANIZATION_A]은 사고 장소를 포함한 [LOCATION_A] 일대를 관리하였다. [PERSON_A]는 18:30경 대학 선배 및 동기들과 [LOCATION_A]에 갔다가 19:20경 사고 장소 부근에서 물놀이를 하였다. 사고 장소의 물은 가운데까지 수심 50∼80cm였으나 우측 모래밭 부근에서 급격히 깊어져 최고 수심 약 2.5m인 지점이 있었고, [PERSON_A]는 그 지점에서 물속에 빠져 밖으로 나오지 못했다. 19:30경 사고 신고가 접수되었고, 구조요원이 19:36경 사고 장소에 도착하여 의사의 도움으로 [PERSON_A]에게 심폐소생술을 실시했으나 호전이 없었다. [PERSON_A]는 19:44경 구급차로 [INSTITUTION_A]에 후송되었다. H0002 기록에는 [PERSON_A]가 20:20경 질식 및 저체온으로 인한 심폐정지로 사망한 것으로 기재되어 있다. H0003 기록에는 [PERSON_A]가","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_ab2b68c40724d0aa92"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""8a7fa58994d75997dc525a149e459e264135f1b985fe64e0dbaadfe650c87f56"", ""source_opinion_sha256"": ""70eecb13ec375955ad2fa42e0ca1025f961850b9df0def459f34baf3b3ccd6cc""}"
35,HIGH,neutral_fact,KR_c2567a4fb9e71fc1f7,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","원고 측 당사자는 원고 1 외 15인이고, 피고 측 당사자는 [COMPANY_A] 외 1인이다. [COMPANY_B]는 자동차대여업 등을 목적으로 하는 법인이었다. [PERSON_B]은 1996년 8월 13일 [PERSON_C]에게 [VEHICLE_A]를 1996년 8월 13일부터 1996년 9월 13일까지 대여하기로 하였고, 총 사용요금은 [CURRENCY_AMOUNT_A]였다. [PERSON_D]는 이를 연대보증했고, [VEHICLE_A]는 [PERSON_D]가 업무로 사용하기로 했다. [PERSON_C]는 자동차 운전면허가 있었으나 21세가 되지 않았고, [PERSON_D]는 21세 이상이었으나 자동차 운전면허가 없었다. [PERSON_C]는 대여계약 직후 [VEHICLE_A]를 인도받아 운전했다. [PERSON_D]는 [VEHICLE_A]의 임차비용을 모두 부담했고, 단란주점 종업원들에게 영업에 필요한 때마다 [VEHICLE_A]를 운전하게 했으며 때때로 직접 운전했다. 19","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_46eecae742ccab2781"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""2c5360c35fe26808177b091e3ed30a9ed652518f04f097140d5162a4a97e675d"", ""reason"": ""minimum general-to-medical swap required after rejecting the procedure-only wet-floor U.S. replacement""}"
