surface_id,concept_id,language,surface_form,match_type,provenance,source_id,source_locator,ambiguity,primary_include,orientation_include,longest_match_priority,overlap_policy,status,note,version
S0096,US_STRICT_LIABILITY,ko,엄격책임,literal,researcher_translation_candidate,US_WEX_STRICT,entry,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0097,US_STRICT_PRODUCTS_LIABILITY,en,strict products liability,literal,source_exact,US_WEX_STRICT,Tort Law section,low,1,1,25,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0098,US_STRICT_PRODUCTS_LIABILITY,en,strict product liability,literal,source_variant,US_WEX_STRICT,Tort Law section,low,1,1,24,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0099,US_STRICT_PRODUCTS_LIABILITY,ko,엄격 제조물책임,literal,researcher_translation_candidate,US_WEX_STRICT,Tort Law section,low,0,0,8,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0100,US_PRODUCT_LIABILITY,en,product liability,literal,source_exact,US_WEX_PRODUCT,entry,low,1,0,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0101,US_PRODUCT_LIABILITY,ko,제조물책임,literal,researcher_translation_candidate,US_WEX_PRODUCT,entry,low,0,0,5,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0102,US_MANUFACTURING_DEFECT,en,manufacturing defect,literal,source_exact,US_WEX_PRODUCT,entry,low,1,0,20,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0103,US_MANUFACTURING_DEFECT,ko,제조결함,literal,researcher_translation_candidate,US_WEX_PRODUCT,entry,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0104,US_DESIGN_DEFECT,en,design defect,literal,source_exact,US_WEX_PRODUCT,entry,low,1,0,13,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0105,US_DESIGN_DEFECT,ko,설계결함,literal,researcher_translation_candidate,US_WEX_PRODUCT,entry,low,0,0,4,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0106,US_FAILURE_TO_WARN,en,failure to warn,literal,corpus_candidate,DEV_CORPUS,to validate,low,1,0,15,remedy_first_excludes_doctrine,needs_dev_validation,"Concept is retained, but this exact surface form must be verified in held-out U.S. development judgments.",0.1.1
S0107,US_FAILURE_TO_WARN,en,inadequate warning,literal,source_exact,US_WEX_PRODUCT,marketing defect,low,1,0,18,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0108,US_FAILURE_TO_WARN,en,marketing defect,literal,source_exact,US_WEX_PRODUCT,marketing defect,low,1,0,16,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0109,US_FAILURE_TO_WARN,ko,경고의무 위반,literal,researcher_translation_candidate,US_WEX_PRODUCT,marketing defect,low,0,0,7,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0110,US_CONSUMER_EXPECTATION_TEST,en,consumer expectation standard,literal,source_exact,US_WEX_PRODUCT,consumer expectation standard,low,1,1,29,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0111,US_CONSUMER_EXPECTATION_TEST,en,consumer expectation test,literal,source_variant,US_WEX_PRODUCT,consumer expectation standard,low,1,1,25,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0112,US_CONSUMER_EXPECTATION_TEST,ko,소비자 기대 기준,literal,researcher_translation_candidate,US_WEX_PRODUCT,consumer expectation standard,low,0,0,9,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0113,US_RISK_UTILITY_TEST,en,risk-utility standard,literal,source_exact,US_WEX_PRODUCT,risk-utility standard,low,1,1,21,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0114,US_RISK_UTILITY_TEST,en,risk-utility test,literal,source_variant,US_WEX_PRODUCT,risk-utility standard,low,1,1,17,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0115,US_RISK_UTILITY_TEST,ko,위험-효용 기준,literal,researcher_translation_candidate,US_WEX_PRODUCT,risk-utility standard,low,0,0,8,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0116,US_ABNORMALLY_DANGEROUS_ACTIVITY,en,abnormally dangerous activities,literal,source_exact,US_WEX_STRICT,Tort Law section,low,1,1,31,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0117,US_ABNORMALLY_DANGEROUS_ACTIVITY,en,abnormally dangerous activity,literal,source_variant,US_WEX_STRICT,Tort Law section,low,1,1,29,remedy_first_excludes_doctrine,needs_dev_validation,,0.1.1
S0118,US_ABNORMALLY_DANGEROUS_ACTIVITY,ko,비정상적으로 위험한 활동,literal,researcher_translation_candidate,US_WEX_STRICT,Tort Law section,low,0,0,13,remedy_first_excludes_doctrine,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
