surface_id,concept_id,category,concept_family,jurisdiction_scope,orientation_layer,language,surface_form,match_type,provenance,ambiguity,primary_include,orientation_include,source_id,source_locator,source_url,status,note,version
S0012,KR_SUPERVISOR_LIABILITY,doctrine,SUPERVISORY_LIABILITY,KR,KR_specific,en,legal duty to supervise,literal,official_translation,low,1,0,KR_CIVIL_ACT,Art. 755,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0013,KR_EMPLOYER_LIABILITY,doctrine,VICARIOUS_EMPLOYER_LIABILITY,KR,KR_specific,ko,사용자의 배상책임,literal,source_exact,low,1,0,KR_CIVIL_ACT,Art. 756,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0014,KR_EMPLOYER_LIABILITY,doctrine,VICARIOUS_EMPLOYER_LIABILITY,KR,KR_specific,ko,사용자책임,literal,source_variant,low,1,0,KR_CIVIL_ACT,Art. 756,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0015,KR_EMPLOYER_LIABILITY,doctrine,VICARIOUS_EMPLOYER_LIABILITY,KR,KR_specific,en,employer's liability for compensation,literal,official_translation,low,1,0,KR_CIVIL_ACT,Art. 756,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0016,KR_EMPLOYER_LIABILITY,doctrine,VICARIOUS_EMPLOYER_LIABILITY,KR,KR_specific,en,employer's liability for damages,literal,official_translation_variant,low,1,0,KR_CIVIL_ACT,Art. 756,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0017,KR_JOINT_TORT,doctrine,MULTIPLE_TORTFEASORS,KR,KR_specific,ko,공동불법행위,literal,source_exact,low,1,1,KR_CIVIL_ACT,Art. 760,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0018,KR_JOINT_TORT,doctrine,MULTIPLE_TORTFEASORS,KR,KR_specific,en,joint torts,literal,official_translation_candidate,low,0,0,KR_CIVIL_ACT,Art. 760,https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0019,KR_RIGHT_OF_REIMBURSEMENT,doctrine,RECOURSE,KR,KR_specific,ko,구상권,literal,source_exact,low,1,0,KR_CIVIL_ACT,Art. 756(3),https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0020,KR_RIGHT_OF_REIMBURSEMENT,doctrine,RECOURSE,KR,KR_specific,en,right to obtain reimbursement,literal,official_translation,low,1,0,KR_CIVIL_ACT,Art. 756(3),https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0021,KR_RIGHT_OF_REIMBURSEMENT,doctrine,RECOURSE,KR,KR_specific,en,right of reimbursement,literal,source_variant,low,1,0,KR_CIVIL_ACT,Art. 756(3),https://elaw.klri.re.kr/eng_service/lawViewContent.do?hseq=61788,needs_dev_validation,,0.1.1
S0022,KR_ADEQUATE_CAUSATION,doctrine,LEGAL_CAUSATION,KR,KR_specific,ko,상당인과관계,literal,source_exact,low,1,1,KR_SC_CAUSATION_2015,2015Da210194,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=5072,needs_dev_validation,,0.1.1
S0023,KR_ADEQUATE_CAUSATION,doctrine,LEGAL_CAUSATION,KR,KR_specific,en,adequate causal relationship,literal,researcher_translation_candidate,low,0,0,KR_SC_CAUSATION_2015,2015Da210194,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=5072,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0024,KR_ADEQUATE_CAUSATION,doctrine,LEGAL_CAUSATION,KR,KR_specific,en,adequate causation,literal,researcher_translation_candidate,low,0,0,KR_SC_CAUSATION_2015,2015Da210194,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=5072,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0025,KR_CONTRIBUTORY_FAULT_SET_OFF,doctrine,FAULT_APPORTIONMENT,KR,KR_specific,ko,과실상계,literal,source_exact,low,1,1,KR_SC_FAULT_2022,case summary,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=8662,needs_dev_validation,,0.1.1
S0026,KR_CONTRIBUTORY_FAULT_SET_OFF,doctrine,FAULT_APPORTIONMENT,KR,KR_specific,en,set-off of negligence,literal,researcher_translation_candidate,low,0,0,KR_SC_FAULT_2022,case summary,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=8662,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0027,KR_CONTRIBUTORY_FAULT_SET_OFF,doctrine,FAULT_APPORTIONMENT,KR,KR_specific,en,comparative fault set-off,literal,researcher_translation_candidate,low,0,0,KR_SC_FAULT_2022,case summary,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=8662,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0028,KR_LIABILITY_LIMITATION,doctrine,EQUITABLE_LIABILITY_LIMITATION,KR,KR_specific,ko,책임제한,literal,source_exact,low,1,0,KR_SC_FAULT_2022,case summary,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=8662,needs_dev_validation,,0.1.1
S0029,KR_LIABILITY_LIMITATION,doctrine,EQUITABLE_LIABILITY_LIMITATION,KR,KR_specific,ko,손해배상책임을 제한,literal,source_variant,low,1,0,KR_SC_FAULT_2022,case summary,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=8662,needs_dev_validation,,0.1.1
S0030,KR_LIABILITY_LIMITATION,doctrine,EQUITABLE_LIABILITY_LIMITATION,KR,KR_specific,en,limitation of liability,literal,researcher_translation_candidate,low,0,0,KR_SC_FAULT_2022,case summary,https://www.scourt.go.kr/supreme/news/NewsViewAction2.work?gubun=4&searchOption=&searchWord=&seqnum=8662,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0031,KR_PRODUCT_LIABILITY,doctrine,PRODUCT_LIABILITY,KR,KR_specific,ko,제조물책임,literal,source_exact,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 3,https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,,0.1.1
S0032,KR_PRODUCT_LIABILITY,doctrine,PRODUCT_LIABILITY,KR,KR_specific,ko,제조물 책임,literal,source_variant,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 3,https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,,0.1.1
S0033,KR_PRODUCT_LIABILITY,doctrine,PRODUCT_LIABILITY,KR,KR_specific,en,product liability,literal,official_translation,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 3,https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0034,KR_MANUFACTURING_DEFECT,doctrine,MANUFACTURING_DEFECT,KR,KR_specific,ko,제조상의 결함,literal,source_exact,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(a),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,,0.1.1
S0035,KR_MANUFACTURING_DEFECT,doctrine,MANUFACTURING_DEFECT,KR,KR_specific,en,defect in manufacturing,literal,official_translation,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(a),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0036,KR_DESIGN_DEFECT,doctrine,DESIGN_DEFECT,KR,KR_specific,ko,설계상의 결함,literal,source_exact,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,,0.1.1
S0037,KR_DESIGN_DEFECT,doctrine,DESIGN_DEFECT,KR,KR_specific,en,defect in design,literal,official_translation,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0038,KR_INDICATION_DEFECT,doctrine,WARNING_OR_INSTRUCTION_DEFECT,KR,KR_specific,ko,표시상의 결함,literal,source_exact,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(c),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,,0.1.1
S0039,KR_INDICATION_DEFECT,doctrine,WARNING_OR_INSTRUCTION_DEFECT,KR,KR_specific,en,defect in indication,literal,official_translation,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(c),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0040,KR_REASONABLE_ALTERNATIVE_DESIGN,doctrine,ALTERNATIVE_DESIGN,KR,KR_specific,ko,합리적인 대체설계,literal,source_exact,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,,0.1.1
S0041,KR_REASONABLE_ALTERNATIVE_DESIGN,doctrine,ALTERNATIVE_DESIGN,KR,KR_specific,en,reasonable alternative design,literal,official_translation,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2)(b),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0042,KR_EXPECTED_PRODUCT_SAFETY,doctrine,PRODUCT_SAFETY_EXPECTATION,KR,KR_specific,ko,통상적으로 기대할 수 있는 안전성,literal,source_exact,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,,0.1.1
S0043,KR_EXPECTED_PRODUCT_SAFETY,doctrine,PRODUCT_SAFETY_EXPECTATION,KR,KR_specific,en,safety ordinarily expected of a product,literal,official_translation,low,1,0,KR_PRODUCT_LIABILITY_ACT,Art. 2(2),https://elaw.klri.re.kr/kor_service/lawViewMultiContent.do?hseq=43265,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence.,0.1.1
S0044,US_NEGLIGENCE,doctrine,NEGLIGENCE,US_GENERIC,US_generic,en,negligence,literal,source_exact,low,1,0,US_WEX_NEGLIGENCE,entry,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0045,US_NEGLIGENCE,doctrine,NEGLIGENCE,US_GENERIC,US_generic,ko,과실책임,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,entry,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0046,US_DUTY_OF_CARE,doctrine,DUTY,US_GENERIC,US_generic,en,duty of care,literal,source_exact,low,1,0,US_WEX_NEGLIGENCE,Legal Duty of Care,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0047,US_DUTY_OF_CARE,doctrine,DUTY,US_GENERIC,US_generic,ko,주의의무,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,Legal Duty of Care,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0048,US_BREACH_OF_DUTY,doctrine,BREACH,US_GENERIC,US_generic,en,breach of duty,literal,source_exact,low,1,0,US_WEX_NEGLIGENCE,Breach of Duty of Care,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0049,US_BREACH_OF_DUTY,doctrine,BREACH,US_GENERIC,US_generic,ko,주의의무 위반,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,Breach of Duty of Care,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0050,US_REASONABLE_PERSON,doctrine,STANDARD_OF_CARE,US_GENERIC,US_generic,en,reasonable person,literal,source_exact,low,1,0,US_WEX_NEGLIGENCE,Legal Duty of Care,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0051,US_REASONABLE_PERSON,doctrine,STANDARD_OF_CARE,US_GENERIC,US_generic,ko,합리적 사람,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,Legal Duty of Care,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0052,US_REASONABLE_CARE,doctrine,STANDARD_OF_CARE,US_GENERIC,US_generic,en,reasonable care,literal,source_exact,low,1,0,US_WEX_NEGLIGENCE,entry,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0053,US_REASONABLE_CARE,doctrine,STANDARD_OF_CARE,US_GENERIC,US_generic,ko,합리적인 주의,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,entry,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0054,US_FORESEEABILITY,doctrine,FORESEEABILITY,US_GENERIC,US_generic,en,foreseeability,literal,source_exact,low,1,0,US_WEX_NEGLIGENCE,entry,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0055,US_FORESEEABILITY,doctrine,FORESEEABILITY,US_GENERIC,US_generic,en,foreseeable,literal,source_exact,low,1,0,US_WEX_NEGLIGENCE,entry,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0056,US_FORESEEABILITY,doctrine,FORESEEABILITY,US_GENERIC,US_generic,ko,예견가능성,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,entry,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0057,US_PROXIMATE_CAUSE,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,en,proximate cause,literal,source_exact,low,1,1,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,,0.1.1
S0058,US_PROXIMATE_CAUSE,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,en,proximate causation,literal,source_variant,low,1,1,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,,0.1.1
S0059,US_PROXIMATE_CAUSE,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,ko,근접원인,literal,researcher_translation_candidate,low,0,0,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0060,US_PROXIMATE_CAUSE,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,ko,근인,literal,researcher_translation_candidate,low,0,0,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0061,US_PROXIMATE_CAUSE,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,ko,법적 인과관계,literal,researcher_translation_candidate,low,0,0,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0062,US_CAUSE_IN_FACT,doctrine,FACTUAL_CAUSATION,US_GENERIC,US_generic,en,cause in fact,literal,source_exact,low,1,1,US_WEX_NEGLIGENCE,Cause-In-Fact,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0063,US_CAUSE_IN_FACT,doctrine,FACTUAL_CAUSATION,US_GENERIC,US_generic,en,cause-in-fact,literal,source_exact,low,1,1,US_WEX_NEGLIGENCE,Cause-In-Fact,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0064,US_CAUSE_IN_FACT,doctrine,FACTUAL_CAUSATION,US_GENERIC,US_generic,ko,사실적 인과관계,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,Cause-In-Fact,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0065,US_BUT_FOR_CAUSATION,doctrine,FACTUAL_CAUSATION,US_GENERIC,US_generic,en,but-for causation,literal,source_variant,low,1,0,US_WEX_NEGLIGENCE,Cause-In-Fact,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0066,US_BUT_FOR_CAUSATION,doctrine,FACTUAL_CAUSATION,US_GENERIC,US_generic,en,but for causation,literal,source_variant,low,1,0,US_WEX_NEGLIGENCE,Cause-In-Fact,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0067,US_BUT_FOR_CAUSATION,doctrine,FACTUAL_CAUSATION,US_GENERIC,US_generic,en,but-for test,literal,source_variant,low,1,0,US_WEX_NEGLIGENCE,Cause-In-Fact,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0068,US_BUT_FOR_CAUSATION,doctrine,FACTUAL_CAUSATION,US_GENERIC,US_generic,ko,but-for 인과관계,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,Cause-In-Fact,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0069,US_SUBSTANTIAL_FACTOR,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,en,substantial factor test,literal,source_exact,low,1,0,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,,0.1.1
S0070,US_SUBSTANTIAL_FACTOR,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,en,substantial factor,literal,source_exact,low,1,0,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,,0.1.1
S0071,US_SUBSTANTIAL_FACTOR,doctrine,LEGAL_CAUSATION,US_GENERIC,US_generic,ko,실질적 요인,literal,researcher_translation_candidate,low,0,0,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0072,US_SUPERSEDING_CAUSE,doctrine,INTERVENING_CAUSATION,US_GENERIC,US_generic,en,superseding cause,literal,source_exact,low,1,1,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,,0.1.1
S0073,US_SUPERSEDING_CAUSE,doctrine,INTERVENING_CAUSATION,US_GENERIC,US_generic,ko,초월적 개입원인,literal,researcher_translation_candidate,low,0,0,US_WEX_PROXIMATE_CAUSE,entry,https://www.law.cornell.edu/wex/proximate_cause,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0074,US_INTERVENING_CAUSE,doctrine,INTERVENING_CAUSATION,US_GENERIC,US_generic,en,intervening cause,literal,source_variant,low,1,1,US_WEX_NEGLIGENCE,Proximate Cause,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0075,US_INTERVENING_CAUSE,doctrine,INTERVENING_CAUSATION,US_GENERIC,US_generic,en,intervening factor,literal,source_exact,low,1,1,US_WEX_NEGLIGENCE,Proximate Cause,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,,0.1.1
S0076,US_INTERVENING_CAUSE,doctrine,INTERVENING_CAUSATION,US_GENERIC,US_generic,ko,개입원인,literal,researcher_translation_candidate,low,0,0,US_WEX_NEGLIGENCE,Proximate Cause,https://www.law.cornell.edu/wex/negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0077,US_NEGLIGENCE_PER_SE,doctrine,STATUTORY_BREACH,US_GENERIC,US_generic,en,negligence per se,literal,source_exact,low,1,1,US_WEX_NEG_PER_SE,entry,https://www.law.cornell.edu/wex/negligence_per_se,needs_dev_validation,,0.1.1
S0078,US_NEGLIGENCE_PER_SE,doctrine,STATUTORY_BREACH,US_GENERIC,US_generic,ko,법규위반에 의한 과실,literal,researcher_translation_candidate,low,0,0,US_WEX_NEG_PER_SE,entry,https://www.law.cornell.edu/wex/negligence_per_se,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0079,US_COMPARATIVE_NEGLIGENCE,doctrine,FAULT_APPORTIONMENT,US_GENERIC,US_generic,en,comparative negligence,literal,source_exact,low,1,1,US_WEX_COMPARATIVE,entry,https://www.law.cornell.edu/wex/comparative_negligence,needs_dev_validation,,0.1.1
S0080,US_COMPARATIVE_NEGLIGENCE,doctrine,FAULT_APPORTIONMENT,US_GENERIC,US_generic,en,comparative fault,literal,source_variant,low,1,1,US_WEX_COMPARATIVE,entry,https://www.law.cornell.edu/wex/comparative_negligence,needs_dev_validation,,0.1.1
S0081,US_COMPARATIVE_NEGLIGENCE,doctrine,FAULT_APPORTIONMENT,US_GENERIC,US_generic,ko,비교과실,literal,researcher_translation_candidate,low,0,0,US_WEX_COMPARATIVE,entry,https://www.law.cornell.edu/wex/comparative_negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0082,US_PURE_COMPARATIVE_NEGLIGENCE,doctrine,FAULT_APPORTIONMENT,US_GENERIC,US_generic,en,pure comparative negligence,literal,source_exact,low,1,1,US_WEX_COMPARATIVE,Pure Comparative Negligence,https://www.law.cornell.edu/wex/comparative_negligence,needs_dev_validation,,0.1.1
S0083,US_PURE_COMPARATIVE_NEGLIGENCE,doctrine,FAULT_APPORTIONMENT,US_GENERIC,US_generic,en,pure comparative fault,literal,source_variant,low,1,1,US_WEX_COMPARATIVE,Pure Comparative Negligence,https://www.law.cornell.edu/wex/comparative_negligence,needs_dev_validation,,0.1.1
S0084,US_PURE_COMPARATIVE_NEGLIGENCE,doctrine,FAULT_APPORTIONMENT,US_GENERIC,US_generic,ko,순수 비교과실,literal,researcher_translation_candidate,low,0,0,US_WEX_COMPARATIVE,Pure Comparative Negligence,https://www.law.cornell.edu/wex/comparative_negligence,needs_dev_validation,Researcher translation candidates are not claims of doctrinal equivalence. Inactive until development-set validation.,0.1.1
S0085,US_MODIFIED_COMPARATIVE_NEGLIGENCE,doctrine,FAULT_APPORTIONMENT,US_GENERIC,US_generic,en,modified comparative negligence,literal,source_exact,low,1,1,US_WEX_COMPARATIVE,Modified Comparative Negligence,https://www.law.cornell.edu/wex/comparative_negligence,needs_dev_validation,,0.1.1
