case_id,case_family_id,origin_country,origin_state,court_name,court_level,decision_date,case_number_or_citation,primary_domain,liability_theories,domain_review_status,domain_evidence,source_case_id,lower_court_supplemented,neutral_fact_source_language,neutral_fact_ko_chars,neutral_fact_en_chars,source_grounding_status,legal_leakage_status,procedural_leakage_status,jurisdiction_leakage_status,translation_equivalence_status,language_sanity_status,duplicate_sentence_status,text_review_provenance,replacement_status,replacement_reason,analysis_split,raw_text_sha256,neutral_fact_source_sha256,neutral_fact_ko_sha256,neutral_fact_en_sha256
KR_26b3a33d5ab3eb8be8,FAM_3fcd6f21eec76f25,KR,,대법원,supreme,2006-07-06,2004다8272,other_civil_liability,"[""이사의 선관주의의무 위반"", ""이사의 감시의무 위반"", ""상법 제399조에 따른 이사의 손해배상책임"", ""보험업법 위반에 따른 손해배상책임""]",independent_agreement,"[""상법 제399조의 이사의 손해배상책임에 관한 법리오해"", ""이사의 법령위반 행위는 이사로서 임무를 수행함에 있어서 준수하여야 할 의무를 개별적으로 규정하고 있는 상법 등의 제 규정과 회사가 영업활동을 함에 있어서 준수하여야 할 제 규정을 위반한 경우가 이에 해당된다고 할 것이고"", ""피고 1이 대표이사로서 보험감독원의 감사지적내용에 따라 동광제약으로부터 추가 담보를 제공받거나, 그것이 불가능하다면 대출금을 상환받아야 함에도 불구하고 그러한 조치를 취하지 아니하고""]",68082,False,ko,1736,3560,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,development,55477d60855b08ebd9dc40727e33d2222554066a9fce9f3c3afa366671681cb3,f433e4212be79ba679d2be3ee829880444c86e401cd8f72e23858e30cea0581a,f433e4212be79ba679d2be3ee829880444c86e401cd8f72e23858e30cea0581a,df5014ba23a3c572d63a0991b0b2135ca76119ba3d67cbb8dda823ea4bcf5068
KR_293763f5a50c79c279,FAM_d162e89576368f2f,KR,,대법원,supreme,2007-04-13,2006다78640,other_civil_liability,"[""불법행위 손해배상"", ""향후치료비 손해"", ""보조구비 손해"", ""개호비 손해""]",independent_agreement,"[""불법행위로 인한 적극적 손해의 배상을 명한 전소송의 변론종결 후에 새로운 적극적 손해가 발생한 경우"", ""원고가 1998. 4. 28. 피고 병원의 응급실에 갔다가 1998. 5. 1. 저산소증에 의한 뇌손상으로 식물인간이 되었고"", ""원고의 연장된 여명에 따른 손해는 전소의 변론종결 당시에는 예견할 수 없었던 새로운 중한 손해""]",85026,False,ko,292,552,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,63dff184c8a2f6632eda185ff1646482f51c5146b4c00c16b91255bda4c595e2,f2dd97cc07c159e568ecc113164af758741b00db763fd323797fe5d7426e06a5,f2dd97cc07c159e568ecc113164af758741b00db763fd323797fe5d7426e06a5,998c8fdf94d316151462bdd86b972c9e1cee19729c6bade85fb4e0d61356b16c
KR_2938a7d8dec5b2a57e,FAM_dc72f7ef5a1066f1,KR,,대법원,supreme,2022-09-29,2022다238657,general_negligence_personal_injury,"[""사용자책임"", ""운전자 과실에 따른 불법행위 손해배상책임"", ""공동불법행위자 사이의 구상책임""]",accepted_primary,"[""원심은 판시와 같이, 이 사건 사고가 이 사건 기중기 운전자인 피고 2의 조작상 과실로 발생하였기에 피고 회사 및 주식회사 군장종합건설(이하 ‘군장종합건설’이라 한다)은 모두 피고 2의 사용자로서 피해자들에 대하여 사용자책임을 부담하고, 그 각 사용자책임과 피고 2의 손해배상책임이 부진정연대채무관계임을 인정하면서도, 피고들과의 내부 관계에서 군장종합건설의 부담 부분은 존재하지 않는다고 보아, 피고들이 공동하여 군장종합건설의 구상권을 대위취득한 원고에게 상법 제682조에 따라 지급 보험금 4,260만 원 전액에 관한 구상의무를 부담한다고 하였다."", ""건설기계의 임대인이 그 운전자와 함께 이를 임차인에게 임대하여 임차인의 현장감독 하에 작업을 하다가 운전자의 과실로 사고가 발생한 경우""]",237023,False,ko,901,2157,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,8e5d63f655ca6932db84995c948d11ac7dabd84074f9ff4c07aa36994a08ae53,39bf3cb3e4783af43a0efc411c4ea112f814351b9786616c936e78ecde25978c,39bf3cb3e4783af43a0efc411c4ea112f814351b9786616c936e78ecde25978c,072b989742cc3e7ee003ec3ba9ec6417823fbec553560c0a9b95bb518df35e65
KR_29dbd6f831cc47236c,FAM_d160f11e8fcec53e,KR,,대법원,supreme,2016-11-10,2014다229009,other_civil_liability,"[""국가배상책임"", ""공무원의 고의·과실에 의한 위법행위"", ""상당인과관계"", ""과실상계""]",independent_agreement,"[""분배농지를 관리하는 공무원이 구 농지개혁법에 따라 국가가 매수·취득한 농지임을 제대로 확인하지 아니한 채 이를 제3자에게 처분함으로써 수분배자 또는 원소유자에게 손해를 발생하게 한 경우 이는 특별한 사정이 없는 한 국가배상법 제2조 제1항에 정한 공무원의 고의·과실에 의한 위법행위에 해당한다고 할 것이다."", ""경기도의 등기부취득시효가 완성됨에 따라 소외 1의 상속인인 원고가 이 사건 토지에 관한 소유 지분을 상실하는 손해를 입게 되었으므로""]",183647,False,ko,602,1061,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,8053f4ee20ba8ec455377f9073570342baa6f747cb31066dd510f137a56e5556,63ff0a3c042f78420f181685fa8fe037fa0bb161b11c4d878402af0429824c9e,63ff0a3c042f78420f181685fa8fe037fa0bb161b11c4d878402af0429824c9e,60207fbed2957cc8484db1839cac0f66935f8fb171727cae2ae7a4c890e0ea14
KR_29de6fa2d32993658e,FAM_952d449dd2084f16,KR,,대법원,supreme,2023-08-18,2022다291009,general_negligence_personal_injury,"[""불법행위로 인한 손해배상""]",accepted_primary,"[""원고 1은 2014. 6. 19. 피고와 근로계약을 체결하고 피고의 송전선로 건설공사 현장 철탑 상부에서 작업하고 내려오던 중 지상 약 19.5m 높이에서 추락하여 뇌손상 등 상해를 입었다."", ""불법행위나 채무불이행으로 인한 손해배상청구권은 현실적으로 손해가 발생한 때 성립한다고 보지만""]",240271,False,ko,234,458,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,db86501d8b792dd5adce32ee8a2576cd7235f5d81d051a9b426ae6a6efd441f8,3a4084ba92393ffc3e237277079b98ed8bf193cebac7dbb894fb6facbbb4b780,3a4084ba92393ffc3e237277079b98ed8bf193cebac7dbb894fb6facbbb4b780,be72e7409ff75c0261223e413ef5ee741fb5ad91403f8e690e81293090d7cdb2
KR_2fbbb928c434a8f95b,FAM_ba1063fc584ea03d,KR,,대법원,supreme,2019-01-17,2017다1448,product_liability,"[""제조물책임"", ""하자담보책임"", ""불완전이행으로 인한 손해배상책임""]",independent_agreement,"[""2. 제조물책임의 인정 여부(상고이유 제1·2점)"", ""제조물책임이란 제조물에 통상적으로 기대되는 안전성을 갖추지 못한 결함으로 생명·신체 또는 건강이 침해되거나 물건이 손상된 경우에 제조업자 등에게 지우는 손해배상책임이다."", ""이 사건 블레이드에 통상적으로 기대되는 안전성을 결여한 결함이 있다고 하더라도""]",208849,False,ko,874,1662,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,development,8a209d4a722237b9e0d62f4f5c103533533f4a2513ef532314642e3d66f41642,d76fb53d1461cde4651814b7c0702778dfaa392912c62802c81b2c043b75b0af,d76fb53d1461cde4651814b7c0702778dfaa392912c62802c81b2c043b75b0af,14ce5ece5bb2ab8cc9b05a3213c0d68fb341318713bfd5c49f828e4033b3a5f7
KR_38f0a0551f52400584,FAM_927d5facf1c39f25,KR,,대법원,supreme,2009-01-15,2008다63192,general_negligence_personal_injury,"[""관리·감독상 과실"", ""근로자의 폭력행위에 대한 예방·감독의무 위반"", ""사망에 대한 손해배상""]",independent_agreement,"[""소외 2를 살해하는 행위(이하 ‘이 사건 사고’라고 한다)"", ""소외 1의 임용 과정에서 관리·감독상의 주의의무 위반이 있다고 할 수 없다."", ""피고에게 소외 1에 대한 관리·감독상에 과실이 있다고 본 원심의 판단""]",133425,False,ko,553,1103,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,3fbe63cbebea9a49f424ccb077e2547b268cb6b62f2e3c3f7597928d527e03e0,638836a9e2c87cff802b5ea13d6d4561ad82917083f9c5f4de64b6728435d3f6,638836a9e2c87cff802b5ea13d6d4561ad82917083f9c5f4de64b6728435d3f6,3db17b6f78d880c07e31c03acdb938231b6cefe307a63b03c7e5c3c1a41cead6
KR_3bdfa18ada600372f2,FAM_55a862ee47e56585,KR,,대법원,supreme,2020-04-09,2018다246767,medical_professional_liability,"[""의료상 과실"", ""분만 중 산모와 태아에 대한 경과관찰의무 위반"", ""의료과실과 장애 사이의 인과관계"", ""손해배상책임 제한""]",independent_agreement,"[""의사가 진찰·치료 등의 의료행위를 할 때에는 사람의 생명·신체·건강을 관리하는 업무의 성질에 비추어 환자의 구체적인 증상이나 상황에 따라 위험을 방지하기 위하여 요구되는 최선의 조치를 할 주의의무가 있다."", ""피고 병원 의료진에게 산모와 태아에 대한 경과관찰을 게을리한 과실이 있고 이러한 과실이 이 사건 장애의 한 원인이 되었다고 보아 피고의 손해배상책임을 인정하였다.""]",226243,False,ko,630,1379,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,6ba688aab97a98f5f972178b1c142230da4c94df403e7cc869397fb8421f4fc4,d0b85ca89fd7a2ceac573424fc84128e8b984672a5589c29df6f4c488a5a2434,d0b85ca89fd7a2ceac573424fc84128e8b984672a5589c29df6f4c488a5a2434,9c7448ea76ad14feed6688688bff98d0297795d32b5e7f82d4139cece666fc16
KR_3d251e8be01dc48a0b,FAM_e1d990864fb24279,KR,,대법원,supreme,2013-06-28,2013다14903,other_civil_liability,"[""중개인의 선관주의의무 위반"", ""손해배상책임""]",independent_agreement,"[""부동산중개업자와 중개의뢰인의 법률관계는 민법상의 위임관계와 유사하므로 중개의뢰를 받은 중개업자는 선량한 관리자의 주의로 중개대상물의 권리관계 등을 조사·확인하여 중개의뢰인에게 설명할 의무가 있다"", ""위 피고들은 그들이 중개한 이 사건 조합가입계약이나 임의분양 등을 통하여 ○○주택이 원고로 하여금 이 사건 아파트에 입주하도록 할 수 있는 권한이나 능력이 있는지 여부 및 원고의 조합원 분담금 등 회수 가능성 여부 등을 조사·확인하거나 그에 따른 위험성 등을 원고에게 설명하지 아니한 채""]",172046,False,ko,1232,2509,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,a023cd5b920108b91aa434a829a15d899a54b76932b2fb95736dec1f5c56937d,63d0fd6c8f43f03f62ed0e00340d620541cd895ec77cf4812aa9a3f0e0cef0d0,63d0fd6c8f43f03f62ed0e00340d620541cd895ec77cf4812aa9a3f0e0cef0d0,9fb82591c481fad246817fd8d675efbcaccd623d4ac3a9944b7e55afb1363b38
KR_3e400c529b48b85317,FAM_6c6135b70a106102,KR,,대법원,supreme,2018-12-13,2018다10562,medical_professional_liability,"[""의료행위상 주의의무 위반"", ""의료과실에 따른 불법행위 손해배상"", ""사망과 과실 사이의 상당인과관계"", ""환자 및 가족의 정신적 고통에 대한 위자료""]",independent_agreement,"[""자)의 상고이유에 관하여\n  가. 피고 의료법인 ○○의료재단에 대한 부분\n  원심은 판시와 같은 이유로 피고 의료법인 ○○의료재단(이하 ‘○○의료재단’이라고 한다)이 운영하는 ○○병원(이하 ‘○○병원’이라고 한다) 의료진이 망인에게 멕소롱을 과다하게 투여하여 악성신경이완증후군이 발생하였다는 원고(선정당사자, 이하 ‘원고’라 한다)의 주장을 배척하였다. ○○병원 의료진이 멕소롱을 과다 투여하였다고 보기 어려울 뿐만 아니라 권장되는 투약 간격을 위반하였다고 볼 수 없고, 설령 1일 최대권장사용량을 초과하여 멕소롱을 투여하였다고 하더라도 망인에게 나타났던 증상이 멕소롱의 과다 투여로 인한 악성신경이완증후군에 의한 것이라고 보기 어렵다는 이유에서"", ""의료진은 의료행위의 속성상 환자의 구체적인 증상이나 상황에 따라 발생하는 위험을 방지하기 위하여 최선의 조치를 취하여야 할 주의의무를 부담한다."", ""의료진이 환자의 기대에 반하여 환자의 치료에 전력을 다하지 않은 경우에는 업무상 주의의무를 위반한 것이라고 보아야 한다.""]",204247,False,ko,1254,2621,pass,pass,pass,pass,pass,pass,pass,replacement_generation_and_direct_qc_v3,replacement_v3,"The opinion concerns inheritance of a credit-guarantee reimbursement debt and the timeliness/effect of limited acceptance of inheritance, not a civil-liability damages merits issue.",development,c17f033dd6bdc788faf196a39885c31528b233e6b720d29c6f538f0459443728,a397b26301d548d0965d292d2506a2efc2e30dacf191dfc29478152361aa3c57,a397b26301d548d0965d292d2506a2efc2e30dacf191dfc29478152361aa3c57,77eefe6b884760f4943a4a1d33f386d11fe50023730db16427c11709207730b0
KR_47079dcb1572fd2e34,FAM_ea83f2c5723e48c4,KR,,대법원,supreme,2004-10-28,2002다45185,medical_professional_liability,"[""의료행위상 주의의무 위반"", ""설명의무 위반""]",independent_agreement,"[""시술상의 과실에 관하여"", ""의사가 진찰·치료 등의 의료행위를 함에 있어서는 사람의 생명·신체·건강을 관리하는 업무의 성질에 비추어 환자의 구체적인 증상이나 상황에 따라 위험을 방지하기 위하여 요구되는 최선의 조치를 취하여야 할 주의의무가 있고"", ""의사의 설명의무는 그 의료행위에 따르는 후유증이나 부작용 등의 위험발생 가능성이 희소하다는 사정만으로 면제될 수 없으며""]",83524,False,ko,891,2130,pass,pass,pass,pass,pass,pass,pass,external_manual_review+v3_final_qc_direct_source_adjudication,retained,,confirmatory,9e939d5ed03c922b7c0dc99e5dfb4f6e83f7ccd389b7990bef09e2472e6a189e,a3e0a7d5ff7e731b5d137d40b1e039999a6ad80e667ae49005abd2a2c8d22853,a3e0a7d5ff7e731b5d137d40b1e039999a6ad80e667ae49005abd2a2c8d22853,c53c350350bc96b831ea7cfbf82ec3a526cee4d34d2b3eb8f9c1fe67ba3ddebf
KR_4a417b3e4eb96c19c1,FAM_74a82a5add28e083,KR,,대법원,supreme,2014-02-13,2011다38417,product_liability,"[""제조물책임"", ""불법행위책임"", ""국가배상책임""]",independent_agreement,"[""제조물책임과 불법행위책임의 성립에 관한 상고이유"", ""피고 3 회사, 피고 6 회사, 피고 5 회사 및 소외인이 제조·판매한 베이비파우더에 발암물질인 석면이 함유된 것이 설계상의 결함이 아닌 제조상의 결함에 해당하여 위 피고들이 제조물책임을 부담하고""]",176253,False,ko,537,1139,pass,pass,pass,pass,pass,pass,pass,external_manual_review_182_authoritative,retained,,confirmatory,1e91eecbafcc37c450301961087887cc42fb5ba30acf76fdf5494f3d25a20ba2,4ebb227a9862ce676c274f80112bbc7a502c0602bf0e30804d1579d839597ce8,4ebb227a9862ce676c274f80112bbc7a502c0602bf0e30804d1579d839597ce8,04de6265463c0b245819a094525cd14b03acbcb805b29394021af0608bf47da2
