case_id,source_grounding_status,mandatory_factual_sufficiency_status,legal_leakage_status,procedural_leakage_status,jurisdiction_leakage_status,language_sanity_status,placeholder_equivalence_status,duplicate_sentence_status,numerical_unit_status,translation_equivalence_status,semantic_hard_fail,manual_review_required,final_pass
US_b2c7f8c81dc1b0c361,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_b732d6870be7eac6fb,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_c387cc2f242da3c0dc,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_ca3855b0593ebfc33e,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_d15af88bf67507bd93,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_d367706577b84edea9,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_e05b7f2567e5800f56,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_e1738150309971f404,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_e2121974270074f961,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_f52ee52e184d02cd06,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
US_f5ad9cb96e57eb50d6,pass,pass,pass,pass,pass,pass,pass,pass,pass_semantic,pass_semantic,False,False,True
