concept_id,category,concept_family,jurisdiction_scope,orientation_layer,source_id,source_locator,scope_tag,seed_status,review_note,version
KR_REVERSAL_REMAND,procedure,APPELLATE_DISPOSITION,KR,none,KR_CIVIL_PROCEDURE_ACT,Art. 436,procedure,candidate_not_frozen,,0.1
KR_TRANSFER,procedure,APPELLATE_DISPOSITION,KR,none,KR_CIVIL_PROCEDURE_ACT,Art. 436,procedure,candidate_not_frozen,,0.1
KR_PLEADINGS,procedure,PLEADINGS,KR,none,KR_CIVIL_PROCEDURE_ACT,Art. 436(2),procedure,candidate_not_frozen,,0.1
KR_JUDGMENT,procedure,JUDGMENT,KR,none,KR_CIVIL_PROCEDURE_ACT,multiple,procedure,candidate_not_frozen,Bare term: exclude from primary by default.,0.1
KR_LITIGATION_RECORD,procedure,RECORD,KR,none,KR_CIVIL_PROCEDURE_ACT,Art. 421,procedure,candidate_not_frozen,,0.1
KR_GROUNDS_FINAL_APPEAL,procedure,APPELLATE_ARGUMENT,KR,none,KR_CIVIL_PROCEDURE_ACT,appeal-to-Supreme-Court provisions,procedure,candidate_not_frozen,,0.1
KR_LITIGATION_COSTS,procedure,COSTS,KR,none,KR_CIVIL_PROCEDURE_ACT,general provisions,procedure,candidate_not_frozen,,0.1
US_APPEAL,procedure,APPEAL,US_GENERIC,none,US_COURTS_GLOSSARY,Appeal,procedure,candidate_not_frozen,,0.1
US_APPELLANT,procedure,PARTY_ON_APPEAL,US_GENERIC,none,US_COURTS_GLOSSARY,Appellant,procedure,candidate_not_frozen,,0.1
US_APPELLEE,procedure,PARTY_ON_APPEAL,US_GENERIC,none,US_COURTS_GLOSSARY,Appellee,procedure,candidate_not_frozen,,0.1
US_APPELLATE_COURT,procedure,COURT_LEVEL,US_GENERIC,none,US_COURTS_GLOSSARY,Appellate,procedure,candidate_not_frozen,,0.1
US_LOWER_COURT,procedure,COURT_LEVEL,US_GENERIC,none,US_COURTS_GLOSSARY,Appeal/Appellate,procedure,candidate_not_frozen,,0.1
US_AFFIRMED,procedure,APPELLATE_DISPOSITION,US_GENERIC,none,US_COURTS_GLOSSARY,Affirmed,procedure,candidate_not_frozen,,0.1
US_REVERSED,procedure,APPELLATE_DISPOSITION,US_GENERIC,none,US_COURTS_GLOSSARY,Reverse,procedure,candidate_not_frozen,,0.1
US_REMAND,procedure,APPELLATE_DISPOSITION,US_GENERIC,none,US_COURTS_GLOSSARY,Remand,procedure,candidate_not_frozen,,0.1
US_COMPLAINT,procedure,PLEADING_DOCUMENT,US_GENERIC,none,US_COURTS_GLOSSARY,Complaint,procedure,candidate_not_frozen,,0.1
US_ANSWER,procedure,PLEADING_DOCUMENT,US_GENERIC,none,US_COURTS_GLOSSARY,Answer,procedure,candidate_not_frozen,,0.1
US_RECORD,procedure,RECORD,US_GENERIC,none,US_COURTS_GLOSSARY,Record,procedure,candidate_not_frozen,Bare term: exclude from primary by default.,0.1
US_MOTION_TO_DISMISS,procedure,MOTION,US_GENERIC,none,DEV_CORPUS,to validate,procedure,candidate_not_frozen,,0.1
US_SUMMARY_JUDGMENT,procedure,SUMMARY_JUDGMENT,US_GENERIC,none,DEV_CORPUS,to validate,procedure,candidate_not_frozen,,0.1
US_MOTION_SUMMARY_JUDGMENT,procedure,SUMMARY_JUDGMENT,US_GENERIC,none,DEV_CORPUS,to validate,procedure,candidate_not_frozen,,0.1
US_STANDARD_OF_REVIEW,procedure,STANDARD_OF_REVIEW,US_GENERIC,none,DEV_CORPUS,to validate,procedure,candidate_not_frozen,,0.1
US_DE_NOVO_REVIEW,procedure,STANDARD_OF_REVIEW,US_GENERIC,none,DEV_CORPUS,to validate,procedure,candidate_not_frozen,,0.1
US_ABUSE_OF_DISCRETION,procedure,STANDARD_OF_REVIEW,US_GENERIC,none,DEV_CORPUS,to validate,procedure,candidate_not_frozen,,0.1
US_SUBSTANTIAL_EVIDENCE_REVIEW,procedure,STANDARD_OF_REVIEW,US_GENERIC,none,DEV_CORPUS,to validate,procedure,candidate_not_frozen,,0.1
US_FINAL_JUDGMENT,procedure,JUDGMENT,US_GENERIC,none,US_WEX_INJUNCTION,Permanent Injunctions,procedure,candidate_not_frozen,,0.1
US_TRIAL,procedure,TRIAL_STAGE,US_GENERIC,none,US_WEX_NEG_PER_SE,entry,procedure,candidate_not_frozen,Bare term: exclude from primary by default.,0.1
ARG_ASSERT,party_arg,PARTY_ASSERTION,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_CONTEND,party_arg,PARTY_ASSERTION,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_MAINTAIN,party_arg,PARTY_ASSERTION,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_ALLEGE,party_arg,PARTY_ALLEGATION,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_CLAIM,party_arg,PARTY_CLAIM,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_DISPUTE,party_arg,PARTY_DISPUTE,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_DEFENSE,party_arg,PARTY_DEFENSE,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_COUNTER,party_arg,PARTY_COUNTERARGUMENT,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
ARG_ARGUMENT_NOUN,party_arg,PARTY_ARGUMENT_NOUN,BOTH,none,DEV_CORPUS,pattern seed; validate on held-out development judgments,argument,candidate_not_frozen,Require explicit party-role cue.,0.1
